collection,event_title,event_desc,prop_name,prop_type,prop_desc
Segment eCommerce Spec,Product Shared,Shared a product with one or more friends,share_via,String,Method of sharing
Segment eCommerce Spec,Product Shared,Shared a product with one or more friends,share_message,String,Message that the sender sent
Segment eCommerce Spec,Product Shared,Shared a product with one or more friends,recipient,String,Recipient of the sharing
Segment eCommerce Spec,Product Shared,Shared a product with one or more friends,product_id,String,Database ID of the product
Segment eCommerce Spec,Product Shared,Shared a product with one or more friends,sku,String,Sku of the product
Segment eCommerce Spec,Product Shared,Shared a product with one or more friends,category,String,Product category being viewed
Segment eCommerce Spec,Product Shared,Shared a product with one or more friends,name,String,Name of the product
Segment eCommerce Spec,Product Shared,Shared a product with one or more friends,brand,String,Brand of the product
Segment eCommerce Spec,Product Shared,Shared a product with one or more friends,variant,String,Variant of the product
Segment eCommerce Spec,Product Shared,Shared a product with one or more friends,price,Number,Price of the product
Segment eCommerce Spec,Product Shared,Shared a product with one or more friends,url,String,URL of the product page for product
Segment eCommerce Spec,Product Shared,Shared a product with one or more friends,image_url,String,Image url of the product
Segment eCommerce Spec,Cart Shared,Shared the cart with one or more friends,share_via,String,Method of sharing
Segment eCommerce Spec,Cart Shared,Shared the cart with one or more friends,share_message,String,Message that the sender sent
Segment eCommerce Spec,Cart Shared,Shared the cart with one or more friends,recipient,String,Recipient of the sharing
Segment eCommerce Spec,Cart Shared,Shared the cart with one or more friends,cart_id,String,Cart ID associated with the product displayed
Segment eCommerce Spec,Cart Shared,Shared the cart with one or more friends,products,Array,Products displayed in the product list
Segment eCommerce Spec,Cart Shared,Shared the cart with one or more friends,products.$.product_id,String,Product ID displayed in the list
Segment eCommerce Spec,Product Reviewed,User reviewed a product,product_id,String,Database ID of the product
Segment eCommerce Spec,Product Reviewed,User reviewed a product,review_id,String,ID of the review posted
Segment eCommerce Spec,Product Reviewed,User reviewed a product,review_body,String,Content of the review
Segment eCommerce Spec,Product Reviewed,User reviewed a product,rating,Integer,Star rating
Product Usage,Object created,User created an object in a product,object,String,Type of object created
Product Usage,Object updated,User updated an object in a product,object,String,Type of object updated
Product Usage,Object deleted,User deleted an object in a product,object,String,Type of object deleted
